Unnamed: 0,lat,lon,r_summer,p_summer,r_all,p_all
18657,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
19020,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
19384,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
19744,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
20084,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
20326,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
18067,36.22841,-95.24995,0.756541092,0.01255824,-0.389960178,0.049665169
18423,36.22841,-95.24995,0.756541092,0.01255824,-0.389960178,0.049665169
18787,36.22841,-95.24995,0.756541092,0.01255824,-0.389960178,0.049665169
19148,36.22841,-95.24995,0.756541092,0.01255824,-0.389960178,0.049665169
19511,36.22841,-95.24995,0.756541092,0.01255824,-0.389960178,0.049665169
19860,36.22841,-95.24995,0.756541092,0.01255824,-0.389960178,0.049665169
20205,36.22841,-95.24995,0.756541092,0.01255824,-0.389960178,0.049665169
17125,39.117218,-94.635605,0.153158675,0.053717162,0.342434468,0.03817843
17479,39.117218,-94.635605,0.153158675,0.053717162,0.342434468,0.03817843
17834,39.117218,-94.635605,0.153158675,0.053717162,0.342434468,0.03817843
18186,39.117218,-94.635605,0.153158675,0.053717162,0.342434468,0.03817843
18554,39.117218,-94.635605,0.153158675,0.053717162,0.342434468,0.03817843
18916,39.117218,-94.635605,0.153158675,0.053717162,0.342434468,0.03817843
19278,39.117218,-94.635605,0.153158675,0.053717162,0.342434468,0.03817843
19642,39.117218,-94.635605,0.153158675,0.053717162,0.342434468,0.03817843
19987,39.117218,-94.635605,0.153158675,0.053717162,0.342434468,0.03817843
17224,39.40745,-94.26537,-0.680141624,0.013761249,-0.070874132,0.060655724
17578,39.40745,-94.26537,-0.680141624,0.013761249,-0.070874132,0.060655724
17931,39.40745,-94.26537,-0.680141624,0.013761249,-0.070874132,0.060655724
18284,39.40745,-94.26537,-0.680141624,0.013761249,-0.070874132,0.060655724
18650,39.40745,-94.26537,-0.680141624,0.013761249,-0.070874132,0.060655724
19013,39.40745,-94.26537,-0.680141624,0.013761249,-0.070874132,0.060655724
19378,39.40745,-94.26537,-0.680141624,0.013761249,-0.070874132,0.060655724
19737,39.40745,-94.26537,-0.680141624,0.013761249,-0.070874132,0.060655724
